200000100523,SOUTHEAST SALINE HIGH,5056 E. K-4 HIGHWAY,GYPSUM,KS,67448,9762,359,(785) 536-4286,42,1,3,07,12,1
200000100524,SOUTHEAST SALINE ELEM,5056 E K-4 HIGHWAY,GYPSUM,KS,67448,,349,(785) 536-4215,42,1,1,KG,06,1
200000200907,SODERSTROM ELEM,227 N WASHINGTON,LINDSBORG,KS,67456,2129,274,(785) 227-2945,33,1,1,KG,04,1
200000200909,MARQUETTE ELEM,BOX 309,MARQUETTE,KS,67464,0309,134,(785) 546-2275,42,1,1,KG,08,1
200000201467,LINDSBORG MIDDLE SCHOOL,401 N CEDAR,LINDSBORG,KS,67456,1900,253,(785) 227-4249,41,1,2,05,08,1
200000201649,SMOKY VALLEY HIGH,1 VIKING BLVD,LINDSBORG,KS,67456,1911,317,(785) 227-2909,41,1,3,09,12,1
200000201809,SMOKY VALLEY VIRTUAL CHARTER SCHOOL,1/2 VIKING BLVD.,LINDSBORG,KS,67456,1911,75,(785) 227-4254,33,1,3,07,12,1
200000300583,WAMEGO MIDDLE SCHOOL,1701 KAW VALLEY ROAD,WAMEGO,KS,66547,9673,297,(785) 456-7682,41,1,2,06,08,1
200000300585,WAMEGO HIGH,801 N LINCOLN,WAMEGO,KS,66547,1539,433,(785) 456-2214,32,1,3,09,12,1
200000301607,CENTRAL ELEM,700 POPLAR STREET,WAMEGO,KS,66547,1426,284,(785) 456-7278,32,1,1,KG,02,1
200000301608,WEST ELEM,1911 6TH ST,WAMEGO,KS,66547,1189,312,(785) 456-8333,32,1,1,03,05,1
200000400597,ST GEORGE ELEM,P O BOX 31,ST GEORGE,KS,66535,0031,347,(785) 494-2482,42,1,1,PK,06,1
200000400599,WESTMORELAND ELEM,P O BOX 350,WESTMORELAND,KS,66549,0350,156,(785) 457-3462,43,1,1,PK,06,1
200000401708,ROCK CREEK JR/SR HIGH SCHOOL,9355 FLUSH ROAD,ST GEORGE,KS,66535,,380,(785) 494-8591,42,1,3,07,12,1
200000501081,SABETHA ELEM,101 OREGON,SABETHA,KS,66534,2899,353,(785) 284-3448,43,1,1,KG,05,1
200000501082,SABETHA MIDDLE SCHOOL,751 BLUEJAY BLVD,SABETHA,KS,66534,9421,173,(785) 284-2151,43,1,2,06,08,1
200000501083,SABETHA HIGH,1011 BLUEJAY BLVD.,SABETHA,KS,66534,9416,238,(785) 284-2155,43,1,3,09,12,1
200000501084,WETMORE ELEM,BOX AB,WETMORE,KS,66550,0246,125,(785) 866-2860,43,1,1,KG,08,1
